,18.952266666666667,Intro
18.952266666666667,37.2372,Jace Talk: Tier 8 in Update 4
37.2372,45.237345,Jace Talk: When Update 4 will come out
45.237345,77.938843,Jace Talk: Tier 8 & the change in vision for Tier 7
77.938843,215.7155,Jace Talk: Changes in Production Lines
88.75533333333334,138.8387,Jace Talk: Bauxite refinement overhaul
138.8387,162.02853333333334,Jace Talk: Turbo motors are moving up
162.02853333333334,175.34183333333334,Jace Talk: Supercomputers & Radio Control Unit changes
175.34183333333334,202.06853333333333,Jace Talk: Nuclear Fuel Rod Production Line rework
202.06853333333333,215.7155,Battery production rework
215.7155,237.3371,Jace Talk: Miscellaneous / Other things
237.3371,261.1942666666667,Jace Talk: Lost Progress / Broken saves?
261.1942666666667,306.2726333333333,Jace Talk: Director Mark's Top 10 Tips on how to prepare for Update 4
306.2726333333333,346.47946666666667,Outro
346.47946666666667,,End Tag
