,11.458333333333334,Intro
11.458333333333334,36.208333333333336,Snutt Talk: Last week we launched Update 4 on Early Access
36.208333333333336,130.20833333333334,Snutt Talk: Verify game files if you have issues
130.20833333333334,279.2083333333333,Snutt Talk: Power Changes Info (and fluid dynamics concerns)
279.2083333333333,322.7083333333333,Snutt Talk: Connectivity Issues and work arounds
322.7083333333333,358.8333333333333,Snutt Talk: Foliage bugs
358.8333333333333,421.3333333333333,Snutt Talk: Name and Icon for game is wrong
421.3333333333333,461.7083333333333,Snutt Talk: Mods aren't officially supported (yet)
461.7083333333333,522.5833333333334,Snutt Talk: The future for Satisfactory
522.5833333333334,551.0833333333334,Outro
551.0833333333334,,End Tag
