,105,Stream Starting Soon
105,326.04573,Intro
222.394479,246.433174,"State of Dev: March 16th, 2021"
325.214703,362.595642,Q&A: How are you feeling Snutt?
362.595642,439.217192,Snutt & Jace Talk: The way this is going to work
439.23333333333335,450.521525,Q&A: Rickroll?
450.53333333333336,478.168215,Snutt & Jace Talk: Stream issue debugging
478.168215,489.981815,Community FYI: I moved to Steam chat for a higher chance of Jace reading my comment
489.96666666666664,523.83602,Snutt & Jace Talk: Ahead of schedule
523.086752,539.657672,Q&A: Can we pre-download it?
539.6666666666666,723.487902,Snutt & Jace Talk: What are your predictions for what's going to be in Update 4?
723.5,790,Snutt & Jace Talk: Prepping for Community Highlights
779.367346,789.14696,Q&A: Giant Crab?
790,1752.963383,Community Highlights
1499.483825,1511.111536,Community FYI: Not surprised- Snutt doesn't know how to get to 1st base
1603.596505,1676.762939,Snutt & Jace Talk: Lizard Doggo & real-life doggo pathfinding
1676.762939,1703.750144,"Community FYI: Enough of the bullshit, tell us about the features in the game"
1752.963383,4932.919115,Content Creator Highlight: Brain's Build Battle
4932.919115,5533.662585,Coffee Stainer Mini Games (Jace preparing in the background)
5166.753389,5229.544831,Q&A: Is there anything Hannah is particularly proud of in Update 4?
5229.544831,5265.523002,Snutt Talk: Instagram Christmas Throwback Calendar
5265.533333333334,5277.434986,Jace & Hannah Talk: World Update pending
5277.434986,5311.998882,Q&A: Is there anything Simon is particularly proud of in Update 4?
5311.998882,5385.46414,Q&A: Is there anything Mark is particularly proud of in Update 4?
5385.466666666666,5403.060799,Snutt Talk: Swedish Spoilers
5403.060799,5533.662585,Mark & Snutt Talk: Removal of Power Self-Regulation
5533.662585,5904.745681,Coffee Stainer Mini Games (off-screen prep during Q&A)
5550.887558,5591.958021,Community FYI: There's two Dutch people there
5628.434324,5649.377357,Q&A: How much will the Update weigh?
5809.4,5840.331858,Q&A: Will 4 players be the limit?
5842.864903,5867.378377,Q&A: Does ADA's helmet contain Oil or something- there's a knob behind the Helmet?
5878.1,5884.138701,Q&A: Train Collision in Update 4?
5885.9544,5904.745681,Q&A: Any news on Dedicated Servers?
5904.745681,7739.6,Coffee Stainer Mini Games
5924.911906,6210.910947,Coffee Stainer Mini Games: Blastroid's Sliding Course
6109.60989,6130.817179,Community FYI: Getting a DMCA by Nintendo
6210.910947,6330.866666666667,Filling time between mini-games
6229.943672,6287.1,Coffee Stainer Talk: Simon wins all the things
6287.1,6319.309094,Snutt Talk: mid-stream summary
6330.866666666667,6921.354671,Coffee Stainer Mini Games: Blastroid's Sat Labs Darts
6921.366666666667,7285.366666666667,Filling time between mini-games
7049.906236,7110.413778,Snutt Talk: mid-stream summary
7169.872058,7285.368862,Snutt Talk: How to access Update 4 on Steam & Epic
7285.366666666667,7669.853235,Coffee Stainer Talk: Blastroid's Pac-Man
7739.6,8378.898164,Interview with Blastroid
8378.898164,8976.705202,Filling time before mod highlight
8510.129594,8558.020136,Q&A: Do you already have plans for Update 5?
8558.020136,8629.687946,Q&A: How far are you with Dedicated Servers?
8629.687946,8638.987881,Q&A: Will Update 4 be 1.0?
8639.527952,8653.206655,Q&A: Will there be a Creative Mode?
8653.206655,8715.730965,Q&A: Will Update 5 come this year?
8718.629605,8722.762527,Q&A: What about Alien Artefact things?
8722.762527,8746.471534,Q&A: Storyline?
8746.466666666667,8837.409742,Q&A: How big is the download?
8837.4,8896.691814,Q&A: How long is the patch notes video?
8900.100787,8976.705202,Q&A: Would you say this Update is bigger than previous Updates?
8976.705202,13308.3,Mod highlight part 2
9035.110151,9135.766666666666,Mod highlight part 2: Introductions
9145.586968,9207.969139,Mod highlight part 2: The unofficial modding community
9207.969139,9329.433333333332,Mod highlight part 2: Unofficial Mod Support
9329.446014,9419.72344,Mod highlight part 2: ficsit.app
9419.72344,9522.380484,Mod highlight part 2: some stats
9522.380484,9562.849744,Mod highlight part 2 Q&A: What is the most installed mod?
9562.849744,9596.875301,Mod highlight part 2: More Milestones mod caused crashes for Coffee Stain
9596.875301,9783.422183,Mod highlight part 2 Q&A: What are some of the toughest challenges to get modding where it is now?
9783.422183,9832.445485,Mod highlight part 2 Q&A: What are some of the things that modders wanted to make but couldn't?
9832.445485,9969.578129,Mod highlight part 2: Custom Maps
9969.578129,10008.903779,Mod highlight part 2: Banging your head against the wall
10008.903779,10123.563222,Mod highlight part 2: Coffee Stain helped a lot in develping unofficial mod support
10123.563222,10155.088818,Mod highlight part 2: Modular build
10155.088818,10273.480196,Mod highlight part 2: Crash Reporting
10273.466666666667,10364.210786,Mod highlight part 2 Q&A: Are there any other shout-outs or things people should know?
10364.210786,10559.687955,"Mod highlight part 2 Q&A: We broke mods with Update 4, how does the community make them work again?"
10559.687955,10614.134533,Mod highlight part 2: prepping for modding demo with Trunky
10614.134533,10691.555747,"Mod highlight part 2: Baine jumps in to say hi, OG moderator in discord"
10691.566666666668,10985.552838,Mod highlight part 2 Q&A: Anything you want to say before we start the modding demo?
11003.436842,11079.091249,Snutt Talk: mid-stream summary
11079.091249,11115.651578,Snutt Talk: How to access Update 4 on Steam & Epic
11115.651578,12130,Mod highlight part 2 modding demo with Trunky
11144.029601,11171.425006,Mod highlight part 2: Introductions
11195.374222,11368.941028,Mod highlight part 2: FICSIT Farming
11387.997671,11579.195625,"Mod highlight part 2: Power Suit, Item Dispenser, Signs"
11629.807587,11650.220077,Mod highlight part 2: Zip Strips
11654.874967,11691.984106,Mod highlight part 2: Structural Solutions
11692,11708.92534,Mod highlight part 2: Flags
11708.92534,11741.195801,Mod highlight part 2: Refined Power
11743.332084,11820.163553,Mod highlight part 2: Inserters
11820.163553,11830.225222,Mod highlight part 2: Teleporters
11832.522765,11849.156966,Mod highlight part 2: Light It Up
11849.156966,11898,Mod highlight part 2: Statue Mod
11898,11951.244895,Mod highlight part 2: Pak Utility
11960.888288,11979.897585,Mod highlight part 2 Q&A: Do mods work in Multiplayer?
11980.489207,11985.898654,Mod highlight part 2: Refined Power
12009.880962,12047.103665,Mod highlight part 2 Q&A: Will these mods work in Experimental?
12049.940134,12090.54626,Mod highlight part 2: Smart!
12130,12204.733333333334,Mod highlight part 2 prepping modding demo with Panakotta
12204.728186,12236.678675,Mod highlight part 2: Introductions
12204.733333333334,13308.314121,Mod highlight part 2: FicsIt-Networks
12245.132962,12280.819967,Mod highlight part 2: FicsIt-Networks - summary
12280.819967,12447.254708,Mod highlight part 2: FicsIt-Networks - production & distribution control
12471.580417,12873.718862,Mod highlight part 2: FicsIt-Networks - Basics...
12793.904228,12844.027304,Mod highlight part 2: FicsIt-Networks Q&A: If you rename a lamp can you use the name instead?
12873.718862,12944.2958,Mod highlight part 2: FicsIt-Networks - Groups???
12944.3,13057.939916,Mod highlight part 2: FicsIt-Networks - Networking!!!
13057.939916,13105.866666666667,Mod highlight part 2: FicsIt-Networks - Graphics!!!
13105.866666666667,13144.35882,Mod highlight part 2: FicsIt-Networks - a Satisfactory Update stream wouldn't be complete without...
13144.366666666667,13193.470156,Mod highlight part 2: FicsIt-Networks - Train Network integration
13308.3,13385.549602,Community Highlights summary
13385.549602,13495.10765,Jace Talk: Localisation community
13495.10765,13544.030975,Jace Talk: The patch notes video subtitles have been translated
13544.033333333333,13959.470751,Jace Talk: Something unplanned - surprise special guest
13959.466666666667,13981.569934,Q&A: Call Josh?
13981.566666666668,14014.132426,Snutt & Jace Talk: What do we do for the last 7 minutes?
14014.132426,14028.4,Random: How y'all doin?
14028.408059,14091.674748,Snutt Talk: Changes between the Fluids Update and now
14091.666666666666,14121.70074,Snutt & Jace Talk: A lot of people are asking Josh to come on
14121.7,14141.28086,Snutt & Jace Talk: mid-stream summary
14141.28086,14208.835591,Snutt Talk: How to access Update 4 on Steam & Epic
14208.833333333334,14300.854839,Snutt & Jace Talk: 4 minutes left
14300.854839,14357.346542,Snutt & Jace Talk: Just got a message from our Producer
14357.333333333334,14385.509652,Snutt Talk: I hope you're going to enjoy the video & Update 4
14385.509652,14449.9,It's the final countdown
14449.9,15140.166666666666,Patch Notes video
15140.166666666666,15228.8,Snutt & Jace Talk: Update 4 is out!
15228.814754,15258.120306,Q&A: Is the YouTube video out?
15258.120306,15312.360004,Snutt & Jace Talk: Drone Fan Art
15312.360004,15343.929024,Q&A: When is it going to be on Early Access?
15345.195156,15370.710615,Q&A: Patch Notes?
15370.7,,Outro
15421.888035,15449.754378,Snutt Talk: We do these streams every week
