,84.81869,Intro
84.81869,153.079978,Snutt & Jace Talk: Update 5 and the effect it had on the Community
153.079978,693.1507916666666,Snutt & Jace Talk: Final Fantasy (Part 1)
693.1507916666666,791.547433,Snutt & Jace Talk: Alt Recipes
791.547433,1791.1226666666666,Snutt & Jace Talk: Final Fantasy (Part 2)
1791.1226666666666,1852.621434,Snutt & Jace Talk: The next iteration of Satisfactory
1852.621434,2042.670921,Snutt & Jace Talk: Final Fantasy (Part 3)
2042.670921,2204.446101,Snutt & Jace Talk: Chrono Cross
2204.446101,2236.046494,Snutt & Jace Talk: The Legend of Dragoon
2236.046494,2282.773257,Snutt & Jace Talk: PS1-era gaming
2282.773257,2422.5034166666665,Snutt & Jace Talk: Final Fantasy (Part 4)
2422.5451249999996,,Outro
