,9.509500000000001,Intro
9.542866666666667,372.979797,Release of Update 6
9.542866666666667,17.84770925,Intro
17.884533333333334,56.79006666666667,Trailer & lack of Patch Notes video
56.823433333333334,107.64086666666667,New Build Pieces
107.67423333333333,134.30083333333334,Post-release bugfixes
134.3342,218.475776,Mod Crashes
218.5183,291.691,Use the QA Site
291.72476666666665,372.979797,Q&A: Why haven't you fixed this issue yet?
373.00596666666667,414.614,Update 7
373.00596666666667,404.3039,What's going to be in Update 7
404.33726666666666,414.614,To Be Continued
414.64756666666665,442.442,Shifting focus to reach 1.0
442.4753666666667,,Outro
